1024, 8, 0, 29.4118, 29.49%
4096, 8, 0, 121.2121, 29.10%
16384, 8, 0, 444.4444, 29.05%
65536, 8, 0, 1378.1965, 29.11%
262144, 8, 0, 2898.7968, 29.06%
1048576, 8, 0, 4115.0321, 29.11%
2097152, 8, 0, 4444.0224, 29.10%
4194304, 8, 0, 4595.3091, 29.11%
1024, 32, 0, 30.3030, 28.32%
4096, 32, 0, 125.0000, 30.81%
16384, 32, 0, 484.8485, 29.49%
65536, 32, 0, 1735.5932, 29.10%
262144, 32, 0, 5188.0936, 29.14%
1048576, 32, 0, 10294.6905, 29.17%
2097152, 32, 0, 12475.9181, 29.08%
4194304, 32, 0, 12802.5002, 29.09%
1024, 128, 0, 30.3030, 30.37%
4096, 128, 0, 129.0323, 28.78%
16384, 128, 0, 484.8485, 29.06%
65536, 128, 0, 1500.3663, 29.13%
262144, 128, 0, 5923.3548, 29.09%
1048576, 128, 0, 12790.0081, 29.04%
2097152, 128, 0, 17013.4995, 29.05%
4194304, 128, 0, 20569.9934, 29.11%
